date,open,high,low,close,volume,stock_name,ticker
12/04/2024,1.05,1.14,0.98,1.14,1.05M,Abctrans,ABCTRANS
12/03/2024,1.13,1.05,1.05,1.05,456.05K,Abctrans,ABCTRANS
12/02/2024,1.17,1.13,1.13,1.13,547.40K,Abctrans,ABCTRANS
11/29/2024,1.19,1.17,1.17,1.17,151.45K,Abctrans,ABCTRANS
11/28/2024,1.19,1.19,1.19,1.19,594.70K,Abctrans,ABCTRANS
11/27/2024,1.25,1.25,1.25,1.25,243.02K,Abctrans,ABCTRANS
11/26/2024,1.25,1.25,1.25,1.25,136.10K,Abctrans,ABCTRANS
11/25/2024,1.25,1.25,1.25,1.25,407.45K,Abctrans,ABCTRANS
11/22/2024,1.25,1.25,1.25,1.25,116.89K,Abctrans,ABCTRANS
11/21/2024,1.25,1.25,1.25,1.25,124.22K,Abctrans,ABCTRANS
11/20/2024,1.19,1.25,1.1,1.25,666.42K,Abctrans,ABCTRANS
11/19/2024,1.19,1.19,1.19,1.19,250.10K,Abctrans,ABCTRANS
11/18/2024,1.21,1.19,1.19,1.19,659.00K,Abctrans,ABCTRANS
11/15/2024,1.15,1.21,1.21,1.21,534.55K,Abctrans,ABCTRANS
11/14/2024,1.15,1.15,1.15,1.15,1.48M,Abctrans,ABCTRANS
11/13/2024,1.27,1.27,1.27,1.27,91.36K,Abctrans,ABCTRANS
11/12/2024,1.27,1.27,1.27,1.27,95.37K,Abctrans,ABCTRANS
11/11/2024,1.27,1.27,1.27,1.27,270.61K,Abctrans,ABCTRANS
11/08/2024,1.3,1.27,1.27,1.27,555.23K,Abctrans,ABCTRANS
11/07/2024,1.2,1.3,1.3,1.3,912.23K,Abctrans,ABCTRANS
11/06/2024,1.27,1.2,1.2,1.2,583.29K,Abctrans,ABCTRANS
11/05/2024,1.27,1.27,1.27,1.27,1.04M,Abctrans,ABCTRANS
11/04/2024,1.22,1.27,1.27,1.27,783.00K,Abctrans,ABCTRANS
11/01/2024,1.22,1.22,1.22,1.22,203.32K,Abctrans,ABCTRANS
10/31/2024,1.22,1.22,1.22,1.22,289.36K,Abctrans,ABCTRANS
10/30/2024,1.35,1.33,1.22,1.22,534.50K,Abctrans,ABCTRANS
10/29/2024,1.35,1.35,1.35,1.35,164.47K,Abctrans,ABCTRANS
10/28/2024,1.35,1.35,1.35,1.35,1.08M,Abctrans,ABCTRANS
10/25/2024,1.35,1.35,1.35,1.35,186.75K,Abctrans,ABCTRANS
10/24/2024,1.35,1.35,1.35,1.35,291.98K,Abctrans,ABCTRANS
10/23/2024,1.35,1.35,1.35,1.35,175.30K,Abctrans,ABCTRANS
10/22/2024,1.29,1.35,1.35,1.35,564.22K,Abctrans,ABCTRANS
10/21/2024,1.2,1.29,1.29,1.29,436.22K,Abctrans,ABCTRANS
10/18/2024,1.2,1.2,1.2,1.2,292.72K,Abctrans,ABCTRANS
10/17/2024,1.2,1.2,1.2,1.2,126.78K,Abctrans,ABCTRANS
10/16/2024,1.2,1.2,1.2,1.2,78.27K,Abctrans,ABCTRANS
10/15/2024,1.32,1.2,1.2,1.2,554.88K,Abctrans,ABCTRANS
10/14/2024,1.32,1.32,1.32,1.32,372.90K,Abctrans,ABCTRANS
10/11/2024,1.32,1.32,1.32,1.32,167.90K,Abctrans,ABCTRANS
10/10/2024,1.22,1.32,1.25,1.32,744.56K,Abctrans,ABCTRANS
10/09/2024,1.35,1.22,1.22,1.22,681.55K,Abctrans,ABCTRANS
10/08/2024,1.35,1.35,1.35,1.35,566.67K,Abctrans,ABCTRANS
10/07/2024,1.23,1.35,1.35,1.35,493.05K,Abctrans,ABCTRANS
10/04/2024,1.12,1.23,1.23,1.23,896.00K,Abctrans,ABCTRANS
